profile,config_id,trade_id,trade_date,entry_ts,split,confidence_score,risk_fraction,drawdown_before,losing_streak_before,margin_cap_lots,risk_cap_lots,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,margin_rupees,equity_before,equity_after,margin_utilization
active_brake_max_return_dd_1.0%,8493,886,2021-03-31,2021-03-31 06:12:00+00:00,discovery_2021_2023,0.3888888888888889,0.04,0.0,0,8,12,8,-930.0000000000068,2116.892945357551,-3046.892945357558,310649.47494730435,491268.6027442479,1000000.0,996953.1070546424,0.4912686027442479
active_brake_max_return_dd_1.0%,8493,888,2021-04-15,2021-04-15 06:08:00+00:00,discovery_2021_2023,0.2361111111111111,0.04,-0.0030468929453576488,0,8,7,7,2808.7500000000027,1472.5449437440413,1336.2050562559614,122581.75827338314,394315.4080065065,996953.1070546424,998289.3121108983,0.39552051667851845
active_brake_max_return_dd_1.0%,8493,890,2021-04-28,2021-04-28 06:10:00+00:00,discovery_2021_2023,0.2777777777777778,0.04,-0.0017106878891016697,0,8,10,8,-2790.0000000000036,1430.9891254494685,-4220.989125449472,261697.88870498037,480181.58615046233,998289.3121108983,994068.3229854489,0.48100443461135617
active_brake_max_return_dd_1.0%,8493,891,2021-04-29,2021-04-29 06:49:00+00:00,discovery_2021_2023,0.0694444444444444,0.0,-0.005931677014551107,0,8,0,0,0.0,0.0,0.0,0.0,0.0,994068.3229854489,994068.3229854489,0.0
active_brake_max_return_dd_1.0%,8493,894,2021-05-12,2021-05-12 07:23:00+00:00,discovery_2021_2023,0.5277777777777778,0.04,-0.005931677014551107,0,8,5,5,5662.499999999999,504.3504757930705,5158.149524206929,40230.42924774802,280159.54749865993,994068.3229854489,999226.4725096558,0.28183127962197513
active_brake_max_return_dd_1.0%,8493,896,2021-06-03,2021-06-03 07:57:00+00:00,discovery_2021_2023,0.9722222222222222,0.04,-0.0007735274903442058,0,8,5,5,-7106.25,553.5855979181779,-7659.835597918178,49565.78284622738,293413.6469001069,999226.4725096558,991566.6369117376,0.2936407861204574
active_brake_max_return_dd_1.0%,8493,898,2021-06-17,2021-06-17 05:41:00+00:00,discovery_2021_2023,0.375,0.04,-0.008433363088262369,1,8,5,5,-974.9999999999991,522.7489742834609,-1497.74897428346,55357.49007297456,295444.48286482727,991566.6369117376,990068.8879374542,0.2979572646625117
active_brake_max_return_dd_1.0%,8493,900,2021-07-08,2021-07-08 08:32:00+00:00,discovery_2021_2023,0.7916666666666666,0.04,-0.009931112062545822,0,8,4,4,6989.999999999999,370.7637544954091,6619.2362455045895,19746.216778066027,233230.3404867786,990068.8879374542,996688.1241829587,0.23556981067514618
active_brake_max_return_dd_1.0%,8493,901,2021-07-15,2021-07-15 05:17:00+00:00,discovery_2021_2023,0.9583333333333334,0.04,-0.0033118758170412876,0,8,5,5,599.9999999999999,445.34165985087543,154.65834014912446,48927.98962007767,293261.4147425243,996688.1241829587,996842.7825231078,0.2942358874627178
active_brake_max_return_dd_1.0%,8493,902,2021-07-29,2021-07-29 08:29:00+00:00,discovery_2021_2023,0.7638888888888888,0.04,-0.003157217476892127,0,12,6,6,2744.9999999999995,353.14353677241746,2391.856463227582,17924.9563991319,233899.34187171242,996842.7825231078,999234.6389863354,0.23464015185994527
active_brake_max_return_dd_1.0%,8493,903,2021-08-12,2021-08-12 08:08:00+00:00,discovery_2021_2023,0.9027777777777778,0.04,-0.0007653610136646449,0,12,6,6,5445.000000000001,352.2453358082605,5092.754664191741,19694.605663074635,239104.21639416384,999234.6389863354,1004327.3936505271,0.2392873576087404
active_brake_max_return_dd_1.0%,8493,904,2021-08-26,2021-08-26 05:40:00+00:00,discovery_2021_2023,0.2222222222222222,0.04,0.0,0,12,7,7,3132.4999999999995,394.3480083919558,2738.1519916080438,41142.53491678787,287758.71559186245,1004327.3936505271,1007065.5456421352,0.2865188358010605
active_brake_max_return_dd_1.0%,8493,905,2021-09-02,2021-09-02 05:57:00+00:00,discovery_2021_2023,0.4166666666666667,0.04,0.0,0,12,7,7,-454.9999999999992,417.24483799119076,-872.24483799119,44226.34528402968,292409.5785724525,1007065.5456421352,1006193.300804144,0.2903580405841443
active_brake_max_return_dd_1.0%,8493,908,2021-09-23,2021-09-23 06:04:00+00:00,discovery_2021_2023,0.2638888888888889,0.04,-0.000866125190922884,0,11,7,7,1697.5000000000005,416.45893378136986,1281.0410662186305,44848.41339390898,302422.41133387655,1006193.300804144,1007474.3418703626,0.3005609469792556
active_brake_max_return_dd_1.0%,8493,909,2021-09-30,2021-09-30 07:51:00+00:00,discovery_2021_2023,0.8055555555555556,0.04,0.0,0,11,9,9,5849.999999999999,539.5224006361908,5310.477599363809,67302.33035885252,390709.95050901844,1007474.3418703626,1012784.8194697264,0.38781131615091124
active_brake_max_return_dd_1.0%,8493,911,2021-10-14,2021-10-14 07:37:00+00:00,discovery_2021_2023,1.0,0.04,0.0,0,11,7,7,-2782.5000000000014,427.6838666419766,-3210.183866641978,44098.89698901151,310289.7551036363,1012784.8194697264,1009574.6356030845,0.30637283373391966
active_brake_max_return_dd_1.0%,8493,912,2021-10-21,2021-10-21 05:22:00+00:00,discovery_2021_2023,0.5,0.04,-0.0031696603315231053,0,11,12,11,5994.999999999999,772.6319774126523,5222.368022587347,136256.6747766498,499998.3148976516,1009574.6356030845,1014797.0036256718,0.4952564151920974
active_brake_max_return_dd_1.0%,8493,913,2021-11-03,2021-11-03 07:52:00+00:00,discovery_2021_2023,0.75,0.04,0.0,0,11,8,8,6600.000000000002,447.76770338687857,6152.232296613123,51743.89078912501,350582.6027948463,1014797.0036256718,1020949.235922285,0.3454706720085722
active_brake_max_return_dd_1.0%,8493,914,2021-11-18,2021-11-18 06:18:00+00:00,discovery_2021_2023,0.4027777777777778,0.04,0.0,0,11,10,10,2399.9999999999995,584.2049042632976,1815.795095736702,92746.82530296524,436197.1687470746,1020949.235922285,1022765.0310180217,0.42724667730715465
active_brake_max_return_dd_1.0%,8493,919,2021-12-23,2021-12-23 05:46:00+00:00,discovery_2021_2023,0.6805555555555556,0.04,0.0,0,12,9,9,-5557.500000000001,571.2273904282524,-6128.727390428254,88703.21050229101,382110.3463047085,1022765.0310180217,1016636.3036275934,0.3736052120635864
active_brake_max_return_dd_1.0%,8493,920,2021-12-30,2021-12-30 07:12:00+00:00,discovery_2021_2023,0.7777777777777778,0.04,-0.005992312216939966,0,11,7,7,2835.000000000002,396.7974597754094,2438.2025402245927,36602.728476808814,298122.20380186505,1016636.3036275934,1019074.5061678181,0.29324371236606056
active_brake_max_return_dd_1.0%,8493,922,2022-01-13,2022-01-13 07:09:00+00:00,discovery_2021_2023,0.8472222222222222,0.04,-0.0036083799683004347,0,11,8,8,4380.0,448.778408965595,3931.221591034405,45414.52419319479,354212.1134356234,1019074.5061678181,1023005.7277588525,0.34758215546733817
active_brake_max_return_dd_1.0%,8493,927,2022-02-10,2022-02-10 07:33:00+00:00,discovery_2021_2023,0.6388888888888888,0.04,0.0,0,11,8,8,3700.0,444.6216292555331,3255.378370744467,44051.32337170547,342972.8726307876,1023005.7277588525,1026261.1061295969,0.33525997296432997
active_brake_max_return_dd_1.0%,8493,929,2022-02-22,2022-02-22 05:48:00+00:00,discovery_2021_2023,0.0277777777777777,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,1026261.1061295969,1026261.1061295969,0.0
active_brake_max_return_dd_1.0%,8493,939,2022-03-16,2022-03-16 05:39:00+00:00,discovery_2021_2023,0.25,0.04,0.0,0,10,22,10,-475.0000000000014,2267.4780376157814,-2742.478037615783,385765.41809483554,479579.2419477451,1026261.1061295969,1023518.6280919812,0.46730723700171434
active_brake_max_return_dd_1.0%,8493,940,2022-03-21,2022-03-21 05:47:00+00:00,discovery_2021_2023,0.0972222222222222,0.0,-0.0026723004713280485,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1023518.6280919812,1023518.6280919812,0.0
active_brake_max_return_dd_1.0%,8493,941,2022-03-22,2022-03-22 06:01:00+00:00,discovery_2021_2023,0.0138888888888888,0.0,-0.0026723004713280485,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1023518.6280919812,1023518.6280919812,0.0
active_brake_max_return_dd_1.0%,8493,944,2022-04-13,2022-04-13 06:10:00+00:00,discovery_2021_2023,0.5555555555555556,0.04,-0.0026723004713280485,0,11,9,9,-1935.000000000001,573.1173620616039,-2508.1173620616046,84304.15236227699,386766.79031445895,1023518.6280919812,1021010.5107299195,0.3778795809857025
active_brake_max_return_dd_1.0%,8493,945,2022-04-21,2022-04-21 07:05:00+00:00,discovery_2021_2023,0.0833333333333333,0.0,-0.005116237347705166,0,11,0,0,0.0,0.0,0.0,0.0,0.0,1021010.5107299195,1021010.5107299195,0.0
active_brake_max_return_dd_1.0%,8493,946,2022-04-27,2022-04-27 05:38:00+00:00,discovery_2021_2023,0.1527777777777778,0.0,-0.005116237347705166,0,11,0,0,0.0,0.0,0.0,0.0,0.0,1021010.5107299195,1021010.5107299195,0.0
active_brake_max_return_dd_1.0%,8493,947,2022-04-28,2022-04-28 08:09:00+00:00,discovery_2021_2023,0.4444444444444444,0.04,-0.005116237347705166,0,12,7,7,-2695.000000000001,430.9595879088328,-3125.959587908834,38698.829797134465,293262.0766389842,1021010.5107299195,1017884.5511420107,0.2872272846920365
active_brake_max_return_dd_1.0%,8493,950,2022-05-17,2022-05-17 08:21:00+00:00,discovery_2021_2023,0.1805555555555555,0.0,-0.008162206418576345,0,10,0,0,0.0,0.0,0.0,0.0,0.0,1017884.5511420107,1017884.5511420107,0.0
active_brake_max_return_dd_1.0%,8493,952,2022-05-23,2022-05-23 06:43:00+00:00,discovery_2021_2023,0.0416666666666666,0.0,-0.008162206418576345,0,10,0,0,0.0,0.0,0.0,0.0,0.0,1017884.5511420107,1017884.5511420107,0.0
active_brake_max_return_dd_1.0%,8493,954,2022-05-26,2022-05-26 07:43:00+00:00,discovery_2021_2023,0.625,0.04,-0.008162206418576345,0,12,10,10,12149.999999999998,667.3482706591589,11482.65172934084,78379.93520974995,401988.00906125986,1017884.5511420107,1029367.2028713515,0.39492495353255075
active_brake_max_return_dd_1.0%,8493,955,2022-05-30,2022-05-30 08:25:00+00:00,discovery_2021_2023,0.4861111111111111,0.04,0.0,0,10,25,10,99.99999999999787,1860.2368712271627,-1760.2368712271648,412948.9157850487,483313.8891677431,1029367.2028713515,1027606.9660001243,0.4695252460148051
active_brake_max_return_dd_1.0%,8493,957,2022-06-07,2022-06-07 05:47:00+00:00,discovery_2021_2023,0.1944444444444444,0.0,-0.0017100184135623309,0,11,0,0,0.0,0.0,0.0,0.0,0.0,1027606.9660001243,1027606.9660001243,0.0
active_brake_max_return_dd_1.0%,8493,959,2022-06-13,2022-06-13 05:16:00+00:00,discovery_2021_2023,0.125,0.0,-0.0017100184135623309,0,10,0,0,0.0,0.0,0.0,0.0,0.0,1027606.9660001243,1027606.9660001243,0.0
active_brake_max_return_dd_1.0%,8493,960,2022-06-14,2022-06-14 05:25:00+00:00,discovery_2021_2023,0.1111111111111111,0.0,-0.0017100184135623309,0,10,0,0,0.0,0.0,0.0,0.0,0.0,1027606.9660001243,1027606.9660001243,0.0
active_brake_max_return_dd_1.0%,8493,962,2022-06-16,2022-06-16 06:40:00+00:00,discovery_2021_2023,0.5416666666666666,0.04,-0.0017100184135623309,0,12,11,11,-3079.9999999999986,879.2411322366354,-3959.2411322366343,136318.3695802409,437852.71262790513,1027606.9660001243,1023647.7248678877,0.4260896696060857
active_brake_max_return_dd_1.0%,8493,963,2022-06-23,2022-06-23 05:03:00+00:00,discovery_2021_2023,0.1666666666666666,0.0,-0.005556304871099149,0,12,0,0,0.0,0.0,0.0,0.0,0.0,1023647.7248678877,1023647.7248678877,0.0
active_brake_max_return_dd_1.0%,8493,968,2022-07-27,2022-07-27 06:08:00+00:00,discovery_2021_2023,0.3472222222222222,0.04,-0.005556304871099149,0,11,16,11,-219.99999999998946,1071.554613668185,-1291.5546136681746,243213.40281329196,478263.24553483876,1023647.7248678877,1022356.1702542196,0.4672146812972828
active_brake_max_return_dd_1.0%,8493,969,2022-07-28,2022-07-28 06:19:00+00:00,discovery_2021_2023,0.5277777777777778,0.04,-0.006811012238951419,0,12,8,8,2399.999999999999,456.8968513806325,1943.1031486193665,54911.35197970454,334431.1736446539,1022356.1702542196,1024299.273402839,0.3271180664576946
active_brake_max_return_dd_1.0%,8493,971,2022-08-10,2022-08-10 08:11:00+00:00,discovery_2021_2023,0.5694444444444444,0.04,-0.004923344608586566,0,11,17,11,-714.9999999999984,1154.0910573581255,-1869.0910573581239,246344.8955218806,501209.85545033496,1024299.273402839,1022430.1823454809,0.489319741275671
