trade_id,trade_date,signal_ts,entry_ts,exit_ts,entry_time,execution_entry_time,signal_vrp_var_act365,vrp_tod_percentile,next_short_iron_condor__pnl_points,next_short_iron_condor__return_on_max_loss,next_long_iron_condor__pnl_points,next_long_iron_condor__return_on_max_loss,leg,entry_offset,option_type,short_weight,strike,entry_close,entry_volume,entry_open_interest,entry_india_vix,entry_minutes_to_expiry,entry_dte,lot_size,entry_spot,entry_atm_iv,actual_expiry_date,span_join_status,span_enrichment_status,span_time_slot,span_date,span_source_status,span_timing_source,span_timing_confidence,span_reference_ts_ist,span_bod_open_time_assumption,span_slot_publication_times_proven,span_intraday_asof_join_performed,span_price,span_s1,span_s2,span_s3,span_s4,span_s5,span_s6,span_s7,span_s8,span_s9,span_s10,span_s11,span_s12,span_s13,span_s14,span_s15,span_s16,exit_close,exit_volume,exit_open_interest,exit_india_vix,exit_minutes_to_expiry,exit_dte,exit_spot,exit_atm_iv,exit_observed_offset,entry_turnover_ratio,entry_vix_multiplier,entry_time_multiplier,entry_stale_multiplier,entry_depth_multiplier,entry_base_spread,entry_time_penalty,entry_stale_penalty,entry_depth_penalty,entry_slippage_per_unit,entry_is_executable_proxy,exit_turnover_ratio,exit_vix_multiplier,exit_time_multiplier,exit_stale_multiplier,exit_depth_multiplier,exit_base_spread,exit_time_penalty,exit_stale_penalty,exit_depth_penalty,exit_slippage_per_unit,exit_is_executable_proxy,entry_vix_fallback,exit_vix_fallback,entry_volatility_proxy,exit_volatility_proxy,entry_volatility_source,exit_volatility_source,primary_entry_side,primary_exit_side,inverse_entry_side,inverse_exit_side
1,2021-03-31,2021-03-31 11:14:00+05:30,2021-03-31 11:15:00+05:30,2021-03-31 12:15:00+05:30,11:14,11:15,0.002671362463913418,0.6333333333333333,2.1000000000000014,0.05982905982905988,-2.1000000000000014,-0.032357473035439156,p_m3,-3,PUT,1,14600.0,41.2,224850.0,3406800.0,,11775.0,8.177083333333334,75,14745.1,0.2772804912954979,2021-04-08,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-03-31,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-03-31 11:00:00+05:30,False,False,False,123.0,-26.49,83.72,123.0,123.0,-392.14,-317.02,123.0,123.0,-928.66,-913.51,123.0,123.0,-1537.04,-1535.96,69.99,-1191.7,42.35,55650.0,3466200.0,,11715.0,8.135416666666666,14733.0,0.26982020894660463,-3,0.0660003328635867,2.5132869934504547,1.0032509987482536,1.0,1.0998459952930915,0.16557233118412382,0.0005382754414250124,0.0,0.016585478847267104,0.18269608547281593,True,0.016055041239674214,2.4125416671998607,1.0032593133366365,1.0,1.0997313839215974,0.16337165222985667,0.0005324794049411108,0.0,0.01634638587840606,0.18025051751320384,True,True,True,27.72804912954979,26.982020894660465,reconstructed_atm_iv,reconstructed_atm_iv,BUY,SELL,SELL,BUY
1,2021-03-31,2021-03-31 11:14:00+05:30,2021-03-31 11:15:00+05:30,2021-03-31 12:15:00+05:30,11:14,11:15,0.002671362463913418,0.6333333333333333,2.1000000000000014,0.05982905982905988,-2.1000000000000014,-0.032357473035439156,p_m1,-1,PUT,-1,14700.0,71.7,261750.0,3395925.0,,11775.0,8.177083333333334,75,14745.1,0.2772804912954979,2021-04-08,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-03-31,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-03-31 11:00:00+05:30,False,False,False,162.45,-27.21,86.31,162.45,162.45,-424.85,-361.09,162.45,162.45,-978.51,-967.51,162.45,162.45,-1590.93,-1590.23,85.97,-1210.7,74.25,63750.0,3319950.0,,11715.0,8.135416666666666,14733.0,0.26982020894660463,-1,0.07707765127979821,2.5132869934504547,1.0032509987482536,1.0,1.0998672235651596,0.28814408121120577,0.0009367560473343417,0.0,0.02886970060290217,0.3179505378614423,True,0.019202090633265372,2.4125416671998607,1.0032593133366365,1.0,1.1000177111999856,0.28643081884455385,0.0009335677878837823,0.0,0.028741528231364166,0.3161059148638018,True,True,True,27.72804912954979,26.982020894660465,reconstructed_atm_iv,reconstructed_atm_iv,SELL,BUY,BUY,SELL
1,2021-03-31,2021-03-31 11:14:00+05:30,2021-03-31 11:15:00+05:30,2021-03-31 12:15:00+05:30,11:14,11:15,0.002671362463913418,0.6333333333333333,2.1000000000000014,0.05982905982905988,-2.1000000000000014,-0.032357473035439156,c_p1,1,CALL,-1,14800.0,67.5,249450.0,4479225.0,,11775.0,8.177083333333334,75,14745.1,0.2772804912954979,2021-04-08,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-03-31,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-03-31 11:00:00+05:30,False,False,False,150.25,-24.37,88.94,-420.14,-346.13,150.25,150.25,-965.07,-946.34,150.25,150.25,-1571.12,-1568.57,150.25,150.25,-1203.11,81.71,58.0,66075.0,4853175.0,,11715.0,8.135416666666666,14733.0,0.26982020894660463,1,0.0556904250868342,2.5132869934504547,1.0032509987482536,1.0,1.0980617591839403,0.2712653484205912,0.0008818833081599142,0.0,0.026687236300360795,0.2988344680291119,True,0.01361479575436786,2.4125416671998607,1.0032593133366365,1.0,1.0975510206559043,0.22374393929944947,0.000729251605350284,0.0,0.021897588882650865,0.24637077978745062,True,True,True,27.72804912954979,26.982020894660465,reconstructed_atm_iv,reconstructed_atm_iv,SELL,BUY,BUY,SELL
1,2021-03-31,2021-03-31 11:14:00+05:30,2021-03-31 11:15:00+05:30,2021-03-31 12:15:00+05:30,11:14,11:15,0.002671362463913418,0.6333333333333333,2.1000000000000014,0.05982905982905988,-2.1000000000000014,-0.032357473035439156,c_p3,3,CALL,1,14900.0,33.1,190275.0,3197250.0,,11775.0,8.177083333333334,75,14745.1,0.2772804912954979,2021-04-08,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-03-31,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-03-31 11:00:00+05:30,False,False,False,107.1,-24.01,85.66,-388.07,-301.92,107.1,107.1,-914.59,-889.44,107.1,107.1,-1514.73,-1510.93,107.1,107.1,-1182.93,66.91,27.1,70200.0,3364125.0,,11715.0,8.135416666666666,14733.0,0.26982020894660463,3,0.05951206208083131,2.5132869934504547,1.0032509987482536,1.0,1.1002691854526305,0.13302048937365288,0.00043244944444584266,0.0,0.013381217471550494,0.14683415628964921,True,0.020867232677967473,2.4125416671998607,1.0032593133366365,1.0,1.099929742627705,0.10454242681060484,0.0003407365259481543,0.0,0.010480947518201292,0.11536411085475429,True,True,True,27.72804912954979,26.982020894660465,reconstructed_atm_iv,reconstructed_atm_iv,BUY,SELL,SELL,BUY
2,2021-04-05,2021-04-05 12:34:00+05:30,2021-04-05 12:35:00+05:30,2021-04-05 13:35:00+05:30,12:34,12:35,0.01002002484387117,0.6612903225806451,-0.9499999999999886,-0.04439252336448541,0.9499999999999886,0.0120865139949108,p_m3,-3,PUT,1,14400.0,87.95,100050.0,1364025.0,,14575.0,10.121527777777779,75,14565.5,0.27941282186168537,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID2,2021-04-05,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-05 12:30:00+05:30,False,False,False,158.0,-36.3,85.94,133.07,158.0,-379.93,-283.82,158.0,158.0,-886.37,-858.0,158.0,158.0,-1478.21,-1474.72,72.83,-1165.75,74.2,56625.0,1543425.0,,14515.0,10.07986111111111,14601.7999,0.2680600079403177,-4,0.07334904173380859,2.542334017340743,1.0029220858986885,1.0,1.1063158141347131,0.35753364464336423,0.001044744021319044,0.0,0.038122553321999375,0.39670094198668265,True,0.036687861938311264,2.3889725004260947,1.0029281191175659,1.0,1.1053939015578285,0.2834415534910543,0.0008299506314897176,0.0,0.029960482921187248,0.3142319870437313,True,True,True,27.941282186168536,26.80600079403177,reconstructed_atm_iv,reconstructed_atm_iv,BUY,SELL,SELL,BUY
2,2021-04-05,2021-04-05 12:34:00+05:30,2021-04-05 12:35:00+05:30,2021-04-05 13:35:00+05:30,12:34,12:35,0.01002002484387117,0.6612903225806451,-0.9499999999999886,-0.04439252336448541,0.9499999999999886,0.0120865139949108,p_m1,-1,PUT,-1,14500.0,122.25,173400.0,1983225.0,,14575.0,10.121527777777779,75,14565.5,0.27941282186168537,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID2,2021-04-05,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-05 12:30:00+05:30,False,False,False,198.65,-37.34,89.15,157.75,198.65,-410.1,-324.82,198.65,198.65,-935.06,-913.02,198.65,198.65,-1533.07,-1530.62,88.23,-1185.31,104.3,76575.0,2165475.0,,14515.0,10.07986111111111,14601.7999,0.2680600079403177,-2,0.0874333031132105,2.542334017340743,1.0029220858986885,1.0,1.1035715601647298,0.4969697334582294,0.00145218825021326,0.0,0.051622336051646234,0.5500442577600889,True,0.03536174032868524,2.3889725004260947,1.0029281191175659,1.0,1.1029473868928752,0.39842256103931223,0.0011666287178487833,0.0,0.04113666291614099,0.440725852673302,True,True,True,27.941282186168536,26.80600079403177,reconstructed_atm_iv,reconstructed_atm_iv,SELL,BUY,BUY,SELL
2,2021-04-05,2021-04-05 12:34:00+05:30,2021-04-05 12:35:00+05:30,2021-04-05 13:35:00+05:30,12:34,12:35,0.01002002484387117,0.6612903225806451,-0.9499999999999886,-0.04439252336448541,0.9499999999999886,0.0120865139949108,c_p1,1,CALL,-1,14600.0,129.85,146850.0,1680975.0,,14575.0,10.121527777777779,75,14565.5,0.27941282186168537,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID2,2021-04-05,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-05 12:30:00+05:30,False,False,False,212.0,-34.79,92.87,-431.31,-344.5,183.08,212.0,-962.47,-934.47,212.0,212.0,-1556.94,-1551.49,212.0,212.0,-1192.61,97.28,143.6,60000.0,1652700.0,,14515.0,10.07986111111111,14601.7999,0.2680600079403177,0,0.08735996230761177,2.542334017340743,1.0029220858986885,1.0,1.1047662388536024,0.527865193370561,0.0015424674379566072,0.0,0.055464049443192054,0.5848717102517097,True,0.03630420747612544,2.3889725004260947,1.0029281191175659,1.0,1.104890364316607,0.5485472652468383,0.0016062117342576787,0.0,0.05770579863059522,0.6078592756116912,True,True,True,27.941282186168536,26.80600079403177,reconstructed_atm_iv,reconstructed_atm_iv,SELL,BUY,BUY,SELL
2,2021-04-05,2021-04-05 12:34:00+05:30,2021-04-05 12:35:00+05:30,2021-04-05 13:35:00+05:30,12:34,12:35,0.01002002484387117,0.6612903225806451,-0.9499999999999886,-0.04439252336448541,0.9499999999999886,0.0120865139949108,c_p3,3,CALL,1,14700.0,85.55,135525.0,1920600.0,,14575.0,10.121527777777779,75,14565.5,0.27941282186168537,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID2,2021-04-05,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-05 12:30:00+05:30,False,False,False,165.0,-34.61,91.12,-403.07,-304.23,156.65,165.0,-916.63,-880.82,165.0,165.0,-1504.15,-1496.56,165.0,165.0,-1173.37,81.56,94.15,61800.0,1990875.0,,14515.0,10.07986111111111,14601.7999,0.2680600079403177,2,0.07056384954501221,2.542334017340743,1.0029220858986885,1.0,1.1038012553986314,0.34777718361841736,0.001016234804136984,0.0,0.036205194707041255,0.3849986131295956,True,0.03104161183318298,2.3889725004260947,1.0029281191175659,1.0,1.1035440683675817,0.3596498957032718,0.0010530977352393167,0.0,0.03734865541298854,0.3980516488514997,True,True,True,27.941282186168536,26.80600079403177,reconstructed_atm_iv,reconstructed_atm_iv,BUY,SELL,SELL,BUY
3,2021-04-06,2021-04-06 11:33:00+05:30,2021-04-06 11:34:00+05:30,2021-04-06 12:34:00+05:30,11:33,11:34,0.0017405335056578305,0.5555555555555556,1.6500000000000128,0.05564924114671208,-1.6500000000000128,-0.02345415778251617,p_m3,-3,PUT,1,14600.0,55.75,83475.0,2711025.0,,13196.0,9.16388888888889,75,14746.1,0.24030517831823833,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-04-06,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-06 11:00:00+05:30,False,False,False,134.7,-32.09,85.65,134.7,134.7,-389.83,-304.22,134.7,134.7,-913.82,-892.73,134.7,134.7,-1516.25,-1514.22,73.07,-1183.6,75.75,290325.0,2586450.0,,13136.0,9.122222222222222,14685.5,0.2479864598773725,-2,0.03079092564955113,2.027719163705991,1.0030709737679273,1.0,1.1013858403426982,0.18075950405919777,0.0005551076952693412,0.0,0.018382734279136698,0.1996973460336038,True,0.11224840524719007,2.1257151351812182,1.003077979268099,1.0,1.1017088327331754,0.25747565146247364,0.0007925047172417932,0.0,0.026268152697188296,0.28453630887690373,True,True,True,24.030517831823833,24.79864598773725,reconstructed_atm_iv,reconstructed_atm_iv,BUY,SELL,SELL,BUY
3,2021-04-06,2021-04-06 11:33:00+05:30,2021-04-06 11:34:00+05:30,2021-04-06 12:34:00+05:30,11:33,11:34,0.0017405335056578305,0.5555555555555556,1.6500000000000128,0.05564924114671208,-1.6500000000000128,-0.02345415778251617,p_m1,-1,PUT,-1,14700.0,85.5,130650.0,2467800.0,,13196.0,9.16388888888889,75,14746.1,0.24030517831823833,2021-04-15,matched,ACCEPTED_WITH_SOURCE_GAPS,ID1,2021-04-06,AVAILABLE_CANONICAL,official_reference_schedule,reference_only,2021-04-06 11:00:00+05:30,False,False,False,172.0,-32.93,88.34,166.25,172.0,-421.01,-346.65,172.0,172.0,-962.74,-946.86,172.0,172.0,-1570.21,-1568.84,88.92,-1202.72,113.8,307950.0,2389575.0,,13136.0,9.122222222222222,14685.5,0.2479864598773725,0,0.052941870110272266,2.027719163705991,1.0030709737679273,1.0,1.1020333260733723,0.27721861160648265,0.000851331084224749,0.0,0.028372401133764935,0.30644234382447233,True,0.12887223507433954,2.1257151351812182,1.003077979268099,1.0,1.1022571112408703,0.3868083054314126,0.0011905879448463885,0.0,0.03967564600131068,0.42767453937756966,True,True,True,24.030517831823833,24.79864598773725,reconstructed_atm_iv,reconstructed_atm_iv,SELL,BUY,BUY,SELL
