lots,trades,mean_gross,mean_base_slippage,mean_ladder_impact,mean_volume_impact,mean_oi_impact,mean_impact,mean_cost,mean_net,net_win_rate,mean_participation_impact,impact_to_base_ratio,ladder_share_of_impact
1,272,102.73345588235289,65.87236872703504,0.0,0.0,0.0,0.0,272.05424658250786,-169.32079070015496,0.3272058823529412,0.0,0.0,
2,272,205.46691176470577,131.74473745407008,2.2329616517638997,2.535718670287892,0.5595049879717372,5.328185310023529,360.634709367047,-155.16779760234127,0.4227941176470588,3.0952236582596293,0.040443249673491395,0.4190848331725983
3,272,308.20036764705867,197.61710618110513,6.698884955291699,5.360426014336569,1.1868893133075393,13.246200282935808,451.8039883558448,-143.60362070878614,0.4522058823529412,6.5473153276441085,0.06702962379580844,0.5057212492794196
4,272,410.93382352941154,263.48947490814015,13.3977699105834,8.74005001033397,1.9381821325105246,24.076002053427896,545.8839362188684,-134.9501126894569,0.46691176470588236,10.678232142844495,0.09137367654560573,0.5564781844116785
5,272,513.6672794117644,329.3618436351752,22.329616517638996,12.603569305138647,2.797524939858686,37.73071076263633,642.7877045779519,-129.12042516618743,0.4742647058823529,15.401094244997333,0.11455701834250591,0.5918154221401891
6,272,616.4007352941173,395.23421236221026,33.494424776458494,16.89883617032743,3.7532735605650194,54.14653450735095,742.4515246447199,-126.05078935060274,0.47794117647058826,20.65210973089245,0.13699860187642018,0.6185885224457215
7,272,719.1341911764702,461.1065810892453,46.8921946870419,21.587013837283802,4.796756051754785,73.27596457608048,844.8279049223434,-125.6937137458732,0.4889705882352941,26.383769889038586,0.15891329159298687,0.6399396440336856
8,272,821.8676470588231,526.9789498162803,62.52292624938919,26.637970509523107,5.921244221893607,95.08214098080592,949.8799987789265,-128.01235172010337,0.4889705882352941,32.559214731416716,0.1804287268285654,0.6575675053637107
9,272,924.6011029411759,592.8513185433154,80.3866194635004,32.02751280267795,7.121335879845235,119.53546814602358,1057.5782213628477,-132.97711842167166,0.49264705882352944,39.14884868252318,0.20162807167188576,0.6724917776312278
10,272,1027.3345588235288,658.7236872703504,100.48327432937549,37.73568386911512,8.392574819576058,146.61153301806667,1167.8981684664486,-140.5636096429197,0.49264705882352944,46.128258688691176,0.22256909209626619,0.6853708726788439
11,272,1130.0680147058818,724.5960559973855,122.81289084701447,43.74566556693627,9.731205683186912,176.28976209713767,1280.8192740446873,-150.75125933880554,0.49264705882352944,53.47687125012318,0.24329384715526764,0.6966535627822968
12,272,1232.8014705882347,790.4684247244205,147.37546901641738,50.04303826218335,11.13400868060738,208.55251595920814,1396.3239050651362,-163.5224344769015,0.49264705882352944,61.17704694279073,0.26383408803699576,0.7066587920964872
13,272,1335.5349264705876,856.3407934514555,174.17100883758417,56.615262546788685,12.598183861318411,243.3844552456913,1514.3967277273862,-178.86180125679883,0.49264705882352944,69.2134464081071,0.28421448225622614,0.7156209243592091
