trade_id,signal_family,structure,hold_sessions,entry_ts,exit_ts,entry_trade_date,exit_trade_date,expiry_date,lot_size,gross_pnl_points,gross_pnl_rupees,total_cost_rupees,cost_hurdle_points,net_pnl_rupees
1,lower10_down,long_iron_condor,1,2021-04-06 12:49:00+05:30,2021-04-07 12:49:00+05:30,2021-04-06,2021-04-07 00:00:00,2021-04-15 00:00:00,75,13.499999999999986,1012.499999999999,392.3988195491121,5.231984260654828,620.1011804508869
2,lower10_down,long_iron_condor,1,2021-04-07 13:46:00+05:30,2021-04-08 13:46:00+05:30,2021-04-07,2021-04-08 00:00:00,2021-04-15 00:00:00,75,28.55,2141.25,307.7667385385838,4.103556513847784,1833.483261461416
3,lower10_down,long_iron_condor,1,2021-04-12 12:24:00+05:30,2021-04-13 12:24:00+05:30,2021-04-12,2021-04-13 00:00:00,2021-04-22 00:00:00,75,-12.550000000000004,-941.2500000000003,401.1824530996389,5.3490993746618525,-1342.4324530996391
4,lower10_down,long_iron_condor,1,2021-04-13 11:58:00+05:30,2021-04-15 11:58:00+05:30,2021-04-13,2021-04-15 00:00:00,2021-04-22 00:00:00,75,-13.649999999999991,-1023.7499999999993,311.77607544161174,4.15701433922149,-1335.526075441611
5,lower10_down,long_iron_condor,1,2021-04-19 10:41:00+05:30,2021-04-20 10:41:00+05:30,2021-04-19,2021-04-20 00:00:00,2021-05-06 00:00:00,75,4.200000000000003,315.0000000000002,408.8067304329161,5.450756405772214,-93.80673043291586
6,lower10_down,long_iron_condor,1,2021-04-20 13:15:00+05:30,2021-04-22 13:15:00+05:30,2021-04-20,2021-04-22 00:00:00,2021-05-06 00:00:00,75,-29.950000000000003,-2246.25,305.7084663523689,4.076112884698252,-2551.9584663523688
7,lower10_down,long_iron_condor,1,2021-05-04 13:31:00+05:30,2021-05-05 13:31:00+05:30,2021-05-04,2021-05-05 00:00:00,2021-05-12 00:00:00,75,-9.70000000000001,-727.5000000000008,355.0689362527628,4.73425248337017,-1082.5689362527637
8,lower10_down,long_iron_condor,1,2021-05-05 10:22:00+05:30,2021-05-06 10:22:00+05:30,2021-05-05,2021-05-06 00:00:00,2021-05-12 00:00:00,75,-11.300000000000011,-847.5000000000009,340.98698109366325,4.546493081248843,-1188.486981093664
9,lower10_down,long_iron_condor,1,2021-05-14 12:21:00+05:30,2021-05-17 12:21:00+05:30,2021-05-14,2021-05-17 00:00:00,2021-06-03 00:00:00,75,3.750000000000007,281.2500000000005,355.48178632043437,4.739757150939125,-74.23178632043386
10,lower10_down,long_iron_condor,1,2021-06-09 13:21:00+05:30,2021-06-10 13:21:00+05:30,2021-06-09,2021-06-10 00:00:00,2021-06-17 00:00:00,75,-6.549999999999994,-491.24999999999955,244.1095394989997,3.2547938599866626,-735.3595394989993
