prediction_decile,observations,mean_predicted_gross_points,mean_realized_gross_points,mean_net_pnl_rupees,structure,horizon_minutes
0,642,-1.5212255533208308,-1.7295171339563864,-272.6688739572837,bear_put_spread,60
1,642,-0.6700861324017182,-0.20311526479750786,-163.68200463570406,bear_put_spread,60
2,641,-0.44365869084397286,-0.11388455538221488,-164.47358359824557,bear_put_spread,60
3,642,-0.26750316941559343,-0.4426012461059194,-187.61342228159393,bear_put_spread,60
4,641,-0.10325990159096274,-0.2737129485179405,-181.32343553330452,bear_put_spread,60
5,642,0.06272476125005641,0.018613707165109076,-154.33738615060807,bear_put_spread,60
6,641,0.2262817679041625,0.1702808112324489,-145.40839662911023,bear_put_spread,60
7,642,0.41466480375577597,0.8054517133956387,-105.5791145996347,bear_put_spread,60
8,641,0.6694590238382,0.05686427457098262,-148.9029626197164,bear_put_spread,60
9,642,1.2326364638512042,1.085747663551402,-83.6485687490381,bear_put_spread,60
0,490,-2.5054056143701375,-0.45867346938775494,-184.8605752359803,bear_put_spread,120
1,490,-1.1597583150735429,-0.1170408163265303,-166.32857104293586,bear_put_spread,120
2,490,-0.7788797347233949,0.4258163265306124,-127.33778914152477,bear_put_spread,120
3,490,-0.4939627161020497,-0.7045918367346938,-210.53239452112038,bear_put_spread,120
4,490,-0.2236684457326281,-0.29806122448979566,-174.56614379143883,bear_put_spread,120
5,490,0.0474417390221765,0.24091836734693847,-140.03206089353748,bear_put_spread,120
6,490,0.32962600469343034,0.20051020408163261,-143.97910302989658,bear_put_spread,120
7,490,0.654785194623822,0.9518367346938781,-97.83895301332771,bear_put_spread,120
8,490,1.0672461322314257,1.1789795918367345,-73.02922035277422,bear_put_spread,120
9,490,2.072097388770248,-0.19775510204081656,-182.3286688196125,bear_put_spread,120
0,339,-3.2284224803021897,0.6735988200589971,-114.65850813815241,bear_put_spread,180
1,338,-1.502384776212456,-0.6766272189349112,-219.45146867965985,bear_put_spread,180
2,338,-0.9486403045245042,0.6649408284023667,-118.20637053587052,bear_put_spread,180
3,338,-0.5105098978989783,0.843639053254437,-112.44698736576379,bear_put_spread,180
4,339,-0.13709513860754802,0.09631268436578062,-149.96456633972812,bear_put_spread,180
5,338,0.22831834661272943,1.6844674556213017,-50.23313532251555,bear_put_spread,180
6,338,0.6181830001487163,0.02248520710059251,-153.65100323237945,bear_put_spread,180
7,338,1.0803100188061858,2.9446745562130174,57.224273733678864,bear_put_spread,180
8,338,1.7939907465030263,0.3476331360946745,-131.00386435263016,bear_put_spread,180
9,339,3.790449859735365,-2.2679941002949855,-314.3909045882301,bear_put_spread,180
0,643,-2.117163443575018,-0.7387247278382585,-182.37057634312876,bull_call_spread,60
1,642,-1.073970884683537,-0.23317757009345796,-164.4321076282014,bull_call_spread,60
2,642,-0.7229923070836232,-0.3641744548286605,-184.28062132361023,bull_call_spread,60
3,642,-0.527456323335284,0.16993769470405024,-150.75391010809471,bull_call_spread,60
4,642,-0.36200972358130706,-0.16752336448598146,-179.8938804516237,bull_call_spread,60
5,642,-0.21766895793539034,-0.2588785046728974,-188.79979672300828,bull_call_spread,60
6,642,-0.07530385666089337,-0.17110591900311511,-180.4508242826007,bull_call_spread,60
7,642,0.06738370244855832,-0.5631619937694703,-209.3966784745982,bull_call_spread,60
8,642,0.2656847282416037,0.16939252336448532,-154.2192211674462,bull_call_spread,60
9,642,0.7949117317306559,-0.6938473520249219,-202.45841008271248,bull_call_spread,60
0,491,-4.375482223021598,-0.9121181262729123,-185.07616676939898,bull_call_spread,120
1,491,-2.1062033208963493,0.0796334012219961,-134.7174583990408,bull_call_spread,120
2,490,-1.3764431502628967,-0.5608163265306123,-194.22307471256303,bull_call_spread,120
3,491,-0.9802969243631419,-0.2941955193482685,-178.8312171129568,bull_call_spread,120
4,491,-0.6794525131320619,0.09765784114052942,-165.54783897162162,bull_call_spread,120
5,490,-0.41911307738900355,-0.6468367346938778,-213.588429257504,bull_call_spread,120
6,491,-0.15157351497966828,0.461608961303462,-141.21540329404758,bull_call_spread,120
7,490,0.13512752626567287,0.1445918367346947,-168.42251490687553,bull_call_spread,120
8,491,0.5062980648257962,-0.9727087576374746,-244.31121782930256,bull_call_spread,120
9,491,1.5185861373688605,-0.2552953156822816,-167.2230980147614,bull_call_spread,120
0,340,-6.240438623947754,-2.0976470588235294,-276.86175187298915,bull_call_spread,180
1,339,-3.3518549235964583,0.8719764011799412,-83.2601513674766,bull_call_spread,180
2,339,-2.3315634723565815,0.45383480825958694,-116.64497984909818,bull_call_spread,180
3,339,-1.7277993022502314,-1.343657817109145,-247.13943299862996,bull_call_spread,180
4,339,-1.2661080382138241,0.24115044247787662,-139.86015602504557,bull_call_spread,180
5,339,-0.8367471219959934,-1.1554572271386427,-241.88478522566683,bull_call_spread,180
6,339,-0.43888222923211906,-1.1864306784660763,-248.57947055164735,bull_call_spread,180
7,339,0.024449636481511453,-0.11120943952802308,-189.7115608983496,bull_call_spread,180
8,339,0.5837037457663213,0.9261061946902651,-122.9692193689001,bull_call_spread,180
9,340,2.097746882274871,0.9285294117647057,-108.0974805260986,bull_call_spread,180
