trade_id,trade_date,signal_ts,entry_ts,signal_family,reversal_type,signal_vrp_var_act365,vrp_q5,q_velocity_5m,prior_running_max_q5,prior_running_min_q5
1,2021-04-01,2021-04-01 09:41:00+00:00,2021-04-01 09:42:00+00:00,top_to_zero,top_to_zero,0.018675330500204458,0.819672131147541,-0.09836065573770492,1.0,0.819672131147541
2,2021-04-05,2021-04-05 05:56:00+00:00,2021-04-05 05:57:00+00:00,bottom_to_zero,bottom_to_zero,-0.10301345998509534,0.11290322580645161,0.08064516129032258,0.0967741935483871,0.0
3,2021-04-06,2021-04-06 08:18:00+00:00,2021-04-06 08:19:00+00:00,bottom_to_zero,bottom_to_zero,-0.05639729969739328,0.3333333333333333,0.2857142857142857,0.6825396825396826,0.031746031746031744
4,2021-04-07,2021-04-07 08:41:00+00:00,2021-04-07 08:42:00+00:00,bottom_to_zero,bottom_to_zero,-0.12138202728119686,0.1875,0.078125,0.71875,0.0625
5,2021-04-08,2021-04-08 06:49:00+00:00,2021-04-08 06:50:00+00:00,top_to_zero,top_to_zero,0.04615394396975668,0.8615384615384616,-0.01538461538461533,0.9692307692307692,0.8769230769230769
6,2021-04-12,2021-04-12 05:10:00+00:00,2021-04-12 05:11:00+00:00,bottom_to_zero,bottom_to_zero,-0.11647245420487298,0.13432835820895522,0.05970149253731344,0.08955223880597014,0.014925373134328358
7,2021-04-13,2021-04-13 09:07:00+00:00,2021-04-13 09:08:00+00:00,bottom_to_zero,bottom_to_zero,-0.1493789869234185,0.17647058823529413,0.10294117647058824,0.39705882352941174,0.04411764705882353
8,2021-04-15,2021-04-15 09:01:00+00:00,2021-04-15 09:02:00+00:00,top_to_zero,top_to_zero,0.0007772133892548216,0.8840579710144928,-0.02898550724637672,0.9855072463768116,0.21739130434782608
9,2021-04-19,2021-04-19 05:32:00+00:00,2021-04-19 05:33:00+00:00,bottom_to_zero,bottom_to_zero,-0.07084278715513605,0.2535211267605634,0.09859154929577466,0.15492957746478872,0.07042253521126761
10,2021-04-20,2021-04-20 07:57:00+00:00,2021-04-20 07:58:00+00:00,bottom_to_zero,bottom_to_zero,-0.04185040383894544,0.2361111111111111,0.05555555555555555,0.6666666666666666,0.08333333333333333
11,2021-04-28,2021-04-28 05:26:00+00:00,2021-04-28 05:27:00+00:00,top_to_zero,top_to_zero,0.019818698459183357,0.8311688311688312,-0.02597402597402587,0.935064935064935,0.8441558441558441
12,2021-04-29,2021-04-29 07:26:00+00:00,2021-04-29 07:27:00+00:00,top_to_zero,top_to_zero,0.05377585564236216,0.8589743589743589,-0.10256410256410264,0.9615384615384616,0.23076923076923078
13,2021-05-04,2021-05-04 08:41:00+00:00,2021-05-04 08:42:00+00:00,bottom_to_zero,bottom_to_zero,-0.1071678114867956,0.19753086419753085,0.037037037037037035,0.8148148148148148,0.08641975308641975
14,2021-05-05,2021-05-05 05:36:00+00:00,2021-05-05 05:37:00+00:00,bottom_to_zero,bottom_to_zero,-0.03252351957947609,0.3170731707317073,0.2804878048780488,0.1282051282051282,0.036585365853658534
15,2021-05-06,2021-05-06 05:23:00+00:00,2021-05-06 05:24:00+00:00,top_to_zero,top_to_zero,0.03274844033815952,0.8795180722891566,-0.024096385542168752,0.9879518072289156,0.9036144578313253
16,2021-05-12,2021-05-12 05:39:00+00:00,2021-05-12 05:40:00+00:00,top_to_zero,top_to_zero,0.038216679856561,0.8735632183908046,-0.02298850574712641,0.9770114942528736,0.8850574712643678
17,2021-05-14,2021-05-14 07:42:00+00:00,2021-05-14 07:43:00+00:00,bottom_to_zero,bottom_to_zero,-0.031142686762880782,0.18181818181818182,0.011363636363636381,0.36363636363636365,0.07954545454545454
18,2021-05-17,2021-05-17 09:59:00+00:00,2021-05-17 10:00:00+00:00,top_to_zero,top_to_zero,0.006208088810755245,0.8539325842696629,-0.0674157303370787,0.9550561797752809,0.43820224719101125
19,2021-05-27,2021-05-27 05:55:00+00:00,2021-05-27 05:56:00+00:00,top_to_zero,top_to_zero,0.045493197923367534,0.8762886597938144,-0.010309278350515427,0.979381443298969,0.8865979381443299
20,2021-06-03,2021-06-03 05:32:00+00:00,2021-06-03 05:33:00+00:00,top_to_zero,top_to_zero,0.02376892999053501,0.803921568627451,-0.02941176470588236,0.9215686274509803,0.8235294117647058
21,2021-06-09,2021-06-09 08:46:00+00:00,2021-06-09 08:47:00+00:00,bottom_to_zero,bottom_to_zero,-0.10675874350910634,0.1792452830188679,0.1509433962264151,0.7547169811320755,0.018867924528301886
22,2021-06-10,2021-06-10 06:33:00+00:00,2021-06-10 06:34:00+00:00,top_to_zero,top_to_zero,0.029670260800683444,0.7850467289719626,-0.07476635514018692,0.9158878504672897,0.8317757009345794
23,2021-06-17,2021-06-17 06:41:00+00:00,2021-06-17 06:42:00+00:00,top_to_zero,top_to_zero,0.038252204712653025,0.8303571428571429,-0.02678571428571419,0.9375,0.8482142857142857
24,2021-06-18,2021-06-18 06:36:00+00:00,2021-06-18 06:37:00+00:00,bottom_to_zero,bottom_to_zero,-0.04611289404271641,0.12389380530973451,0.07079646017699115,0.11504424778761062,0.017699115044247787
25,2021-06-24,2021-06-24 09:05:00+00:00,2021-06-24 09:06:00+00:00,top_to_zero,top_to_zero,0.032883393816287305,0.8974358974358975,-0.08547008547008539,1.0,0.905982905982906
26,2021-07-01,2021-07-01 05:29:00+00:00,2021-07-01 05:30:00+00:00,top_to_zero,top_to_zero,0.021321831821760576,0.8032786885245902,-0.032786885245901676,0.9180327868852459,0.8278688524590164
27,2021-07-12,2021-07-12 08:38:00+00:00,2021-07-12 08:39:00+00:00,bottom_to_zero,bottom_to_zero,-0.10371002598102683,0.15503875968992248,0.06201550387596899,0.6046511627906976,0.05426356589147287
28,2021-07-15,2021-07-15 05:24:00+00:00,2021-07-15 05:25:00+00:00,top_to_zero,top_to_zero,0.016709794134297414,0.7954545454545454,-0.06060606060606066,0.9166666666666666,0.8181818181818182
29,2021-07-23,2021-07-23 05:03:00+00:00,2021-07-23 05:04:00+00:00,bottom_to_zero,bottom_to_zero,-0.05694012489713421,0.20437956204379562,0.0948905109489051,0.19708029197080293,0.0948905109489051
