trade_id,trade_date,reversal_type,horizon_minutes,entry_vrp,exit_vrp,zero_touched,minutes_to_zero,distance_to_zero_reduced
1,2021-04-01,top_to_zero,60,0.01684040735307213,,True,1.0,
1,2021-04-01,top_to_zero,120,0.01684040735307213,,True,1.0,
1,2021-04-01,top_to_zero,180,0.01684040735307213,,True,1.0,
2,2021-04-05,bottom_to_zero,60,-0.10332071390784583,-0.003651130060234792,False,,True
2,2021-04-05,bottom_to_zero,120,-0.10332071390784583,-0.061548170463016263,True,65.0,True
2,2021-04-05,bottom_to_zero,180,-0.10332071390784583,-0.05318153606795911,True,65.0,True
3,2021-04-06,bottom_to_zero,60,-0.05862850874967554,-0.003410706424137107,False,,True
3,2021-04-06,bottom_to_zero,120,-0.05862850874967554,,False,,
3,2021-04-06,bottom_to_zero,180,-0.05862850874967554,,False,,
4,2021-04-07,bottom_to_zero,60,-0.12237778140628408,-0.009439335430553364,True,32.0,True
4,2021-04-07,bottom_to_zero,120,-0.12237778140628408,,True,32.0,
4,2021-04-07,bottom_to_zero,180,-0.12237778140628408,,True,32.0,
5,2021-04-08,top_to_zero,60,0.04244881420345275,0.028476197879784212,False,,True
5,2021-04-08,top_to_zero,120,0.04244881420345275,0.016861563795719098,True,105.0,True
5,2021-04-08,top_to_zero,180,0.04244881420345275,-0.11091837073436825,True,105.0,False
6,2021-04-12,bottom_to_zero,60,-0.11109844709652099,-0.045175972156676125,False,,True
6,2021-04-12,bottom_to_zero,120,-0.11109844709652099,-0.10073677987271563,False,,True
6,2021-04-12,bottom_to_zero,180,-0.11109844709652099,-0.09287494345101359,False,,True
7,2021-04-13,bottom_to_zero,60,-0.1590600284453752,,False,,
7,2021-04-13,bottom_to_zero,120,-0.1590600284453752,,False,,
7,2021-04-13,bottom_to_zero,180,-0.1590600284453752,,False,,
8,2021-04-15,top_to_zero,60,-0.0019395487984724402,,True,0.0,
8,2021-04-15,top_to_zero,120,-0.0019395487984724402,,True,0.0,
8,2021-04-15,top_to_zero,180,-0.0019395487984724402,,True,0.0,
9,2021-04-19,bottom_to_zero,60,-0.07191433116861129,0.005370006122027912,True,55.0,True
9,2021-04-19,bottom_to_zero,120,-0.07191433116861129,-0.007878751136433701,True,55.0,True
9,2021-04-19,bottom_to_zero,180,-0.07191433116861129,-0.09581781508760451,True,55.0,False
10,2021-04-20,bottom_to_zero,60,-0.04451747513226548,-0.06330131194051421,False,,False
10,2021-04-20,bottom_to_zero,120,-0.04451747513226548,-0.17799389744143226,False,,False
10,2021-04-20,bottom_to_zero,180,-0.04451747513226548,,False,,
11,2021-04-28,top_to_zero,60,0.020618888334726745,0.03284284101039584,False,,False
11,2021-04-28,top_to_zero,120,0.020618888334726745,0.027428650949324743,False,,False
11,2021-04-28,top_to_zero,180,0.020618888334726745,0.0034532578116030638,False,,True
12,2021-04-29,top_to_zero,60,0.06514457638977497,0.09492376306411761,False,,False
12,2021-04-29,top_to_zero,120,0.06514457638977497,0.05690166273659081,False,,True
12,2021-04-29,top_to_zero,180,0.06514457638977497,,True,125.0,
13,2021-05-04,bottom_to_zero,60,-0.10681647901891128,-0.14472236800109373,False,,False
13,2021-05-04,bottom_to_zero,120,-0.10681647901891128,,False,,
13,2021-05-04,bottom_to_zero,180,-0.10681647901891128,,False,,
14,2021-05-05,bottom_to_zero,60,-0.029398938723579376,-0.01522934371168512,True,43.0,True
14,2021-05-05,bottom_to_zero,120,-0.029398938723579376,-0.029961236776894967,True,43.0,False
14,2021-05-05,bottom_to_zero,180,-0.029398938723579376,0.006438426028358674,True,43.0,True
15,2021-05-06,top_to_zero,60,0.03857338772711627,0.05840953286634145,False,,False
15,2021-05-06,top_to_zero,120,0.03857338772711627,0.073433506844936,False,,False
15,2021-05-06,top_to_zero,180,0.03857338772711627,0.06071026901605457,False,,False
16,2021-05-12,top_to_zero,60,0.041130642948974346,0.050968940029465115,False,,False
16,2021-05-12,top_to_zero,120,0.041130642948974346,0.05978275522870796,False,,False
16,2021-05-12,top_to_zero,180,0.041130642948974346,0.031018594616641252,False,,True
17,2021-05-14,bottom_to_zero,60,-0.034523822799709475,-0.033281441745786386,False,,True
17,2021-05-14,bottom_to_zero,120,-0.034523822799709475,-0.05032892667040971,False,,False
17,2021-05-14,bottom_to_zero,180,-0.034523822799709475,,False,,
18,2021-05-17,top_to_zero,60,,,False,,
18,2021-05-17,top_to_zero,120,,,False,,
18,2021-05-17,top_to_zero,180,,,False,,
19,2021-05-27,top_to_zero,60,0.04411040020407913,0.0592058188227776,False,,False
19,2021-05-27,top_to_zero,120,0.04411040020407913,0.060585537027510405,False,,False
19,2021-05-27,top_to_zero,180,0.04411040020407913,0.06103367406106027,False,,False
20,2021-06-03,top_to_zero,60,0.024229969650208457,0.03730457627550881,False,,False
20,2021-06-03,top_to_zero,120,0.024229969650208457,0.04456304990333823,False,,False
20,2021-06-03,top_to_zero,180,0.024229969650208457,0.032525334963556966,False,,False
21,2021-06-09,bottom_to_zero,60,-0.10676601162597767,-0.10957443249383053,False,,False
21,2021-06-09,bottom_to_zero,120,-0.10676601162597767,,False,,
21,2021-06-09,bottom_to_zero,180,-0.10676601162597767,,False,,
22,2021-06-10,top_to_zero,60,0.029318022833818895,0.05114797104936583,False,,False
22,2021-06-10,top_to_zero,120,0.029318022833818895,0.041198287516769,False,,False
22,2021-06-10,top_to_zero,180,0.029318022833818895,-0.015399175283390366,True,176.0,True
23,2021-06-17,top_to_zero,60,0.0389306350637272,0.028805049012357798,False,,True
23,2021-06-17,top_to_zero,120,0.0389306350637272,0.05056805961603582,False,,False
23,2021-06-17,top_to_zero,180,0.0389306350637272,-0.06072192574238008,True,151.0,False
24,2021-06-18,bottom_to_zero,60,-0.0461749895292586,-0.018291148593320917,False,,True
24,2021-06-18,bottom_to_zero,120,-0.0461749895292586,-0.056957794042237046,False,,False
24,2021-06-18,bottom_to_zero,180,-0.0461749895292586,-0.09840199920345545,False,,False
25,2021-06-24,top_to_zero,60,0.03188167202170988,,True,21.0,
25,2021-06-24,top_to_zero,120,0.03188167202170988,,True,21.0,
25,2021-06-24,top_to_zero,180,0.03188167202170988,,True,21.0,
26,2021-07-01,top_to_zero,60,0.01982407342181539,0.029006129928935566,False,,False
26,2021-07-01,top_to_zero,120,0.01982407342181539,0.016128828820387946,False,,True
26,2021-07-01,top_to_zero,180,0.01982407342181539,0.028056175894283768,False,,False
27,2021-07-12,bottom_to_zero,60,-0.09797871008722028,-0.04709096181667505,False,,True
27,2021-07-12,bottom_to_zero,120,-0.09797871008722028,,False,,
27,2021-07-12,bottom_to_zero,180,-0.09797871008722028,,False,,
28,2021-07-15,top_to_zero,60,0.014116834364233138,0.033627160526565156,False,,False
28,2021-07-15,top_to_zero,120,0.014116834364233138,0.03181909366469919,False,,False
28,2021-07-15,top_to_zero,180,0.014116834364233138,0.02830708233966187,False,,False
29,2021-07-23,bottom_to_zero,60,-0.05688598003434449,-0.026057045136700166,False,,True
29,2021-07-23,bottom_to_zero,120,-0.05688598003434449,-0.005774662144083797,False,,True
29,2021-07-23,bottom_to_zero,180,-0.05688598003434449,-0.008707901510118552,False,,True
30,2021-08-06,bottom_to_zero,60,-0.01887872729678749,-0.011725842179162548,False,,True
30,2021-08-06,bottom_to_zero,120,-0.01887872729678749,-0.02092660403327764,False,,False
30,2021-08-06,bottom_to_zero,180,-0.01887872729678749,-0.009845091254572284,False,,True
31,2021-08-17,bottom_to_zero,60,-0.033727290832524445,-0.021742670705724085,False,,True
31,2021-08-17,bottom_to_zero,120,-0.033727290832524445,-0.04134788089462979,False,,False
31,2021-08-17,bottom_to_zero,180,-0.033727290832524445,,False,,
32,2021-08-20,bottom_to_zero,60,-0.028026362440070528,-0.04912304302179185,False,,False
32,2021-08-20,bottom_to_zero,120,-0.028026362440070528,-0.0552240840283664,False,,False
32,2021-08-20,bottom_to_zero,180,-0.028026362440070528,,False,,
33,2021-08-23,bottom_to_zero,60,-0.040259818333407055,-0.03280630313320623,False,,True
33,2021-08-23,bottom_to_zero,120,-0.040259818333407055,-0.018098126482227833,False,,True
33,2021-08-23,bottom_to_zero,180,-0.040259818333407055,-0.05659567586160871,False,,False
34,2021-08-25,bottom_to_zero,60,-0.010233427048706879,0.002326245305916739,True,6.0,True
34,2021-08-25,bottom_to_zero,120,-0.010233427048706879,-0.008462772094056699,True,6.0,True
34,2021-08-25,bottom_to_zero,180,-0.010233427048706879,,True,6.0,
35,2021-08-26,top_to_zero,60,0.023353430487579083,0.021468803450156906,False,,True
35,2021-08-26,top_to_zero,120,0.023353430487579083,0.010761558677750114,False,,True
35,2021-08-26,top_to_zero,180,0.023353430487579083,0.022112184272423386,False,,True
36,2021-09-09,top_to_zero,60,0.01775391882176836,0.035235137334438976,False,,False
36,2021-09-09,top_to_zero,120,0.01775391882176836,0.03450885900451348,False,,False
36,2021-09-09,top_to_zero,180,0.01775391882176836,0.015679141945683425,False,,True
37,2021-09-14,top_to_zero,60,,,False,,
37,2021-09-14,top_to_zero,120,,,False,,
37,2021-09-14,top_to_zero,180,,,False,,
38,2021-09-17,bottom_to_zero,60,-0.056333643860607775,-0.0679191916829244,False,,False
38,2021-09-17,bottom_to_zero,120,-0.056333643860607775,,False,,
38,2021-09-17,bottom_to_zero,180,-0.056333643860607775,,False,,
39,2021-09-20,bottom_to_zero,60,-0.01371429650166306,-0.05238143892781255,False,,False
39,2021-09-20,bottom_to_zero,120,-0.01371429650166306,-0.026436662374918173,False,,False
39,2021-09-20,bottom_to_zero,180,-0.01371429650166306,,False,,
40,2021-09-21,bottom_to_zero,60,-0.024105120096699545,-0.009103862038893271,False,,True
40,2021-09-21,bottom_to_zero,120,-0.024105120096699545,-0.046473379825374986,False,,False
