trade_date,signal_ts,entry_ts,signal_name,signal_group,requested_structure,membership_id,trade_id
2021-03-31,2021-03-31 05:44:00+00:00,2021-03-31 05:45:00+00:00,zero_up,zero_crossing,short_iron_condor,1,1
2021-03-31,2021-03-31 05:49:00+00:00,2021-03-31 05:50:00+00:00,q70_up,percentile_crossing,short_iron_condor,2,2
2021-03-31,2021-03-31 05:53:00+00:00,2021-03-31 05:54:00+00:00,q70_down,percentile_crossing,short_iron_condor,3,3
2021-03-31,2021-03-31 05:58:00+00:00,2021-03-31 05:59:00+00:00,q75_up,percentile_crossing,short_iron_condor,4,4
2021-03-31,2021-03-31 06:01:00+00:00,2021-03-31 06:02:00+00:00,q75_down,percentile_crossing,short_iron_condor,5,5
2021-03-31,2021-03-31 06:09:00+00:00,2021-03-31 06:10:00+00:00,q80_up,percentile_crossing,short_iron_condor,6,6
2021-03-31,2021-03-31 06:11:00+00:00,2021-03-31 06:12:00+00:00,q85_up,percentile_crossing,short_iron_condor,7,7
2021-03-31,2021-03-31 06:34:00+00:00,2021-03-31 06:35:00+00:00,q80_down,percentile_crossing,short_iron_condor,8,8
2021-03-31,2021-03-31 07:48:00+00:00,2021-03-31 07:49:00+00:00,zero_down,zero_crossing,long_iron_condor,9,9
2021-04-01,2021-04-01 06:54:00+00:00,2021-04-01 06:55:00+00:00,q95_down,percentile_crossing,short_iron_condor,10,10
2021-04-01,2021-04-01 06:57:00+00:00,2021-04-01 06:58:00+00:00,q95_up,percentile_crossing,short_iron_condor,11,11
2021-04-01,2021-04-01 09:41:00+00:00,2021-04-01 09:42:00+00:00,reversal_top,tail_reversal,long_iron_condor,12,12
2021-04-05,2021-04-05 05:56:00+00:00,2021-04-05 05:57:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,13,13
2021-04-05,2021-04-05 07:04:00+00:00,2021-04-05 07:05:00+00:00,zero_up,zero_crossing,short_iron_condor,14,14
2021-04-05,2021-04-05 07:19:00+00:00,2021-04-05 07:20:00+00:00,zero_down,zero_crossing,long_iron_condor,15,15
2021-04-06,2021-04-06 06:03:00+00:00,2021-04-06 06:04:00+00:00,zero_up,zero_crossing,short_iron_condor,16,16
2021-04-06,2021-04-06 06:19:00+00:00,2021-04-06 06:20:00+00:00,zero_down,zero_crossing,long_iron_condor,17,17
2021-04-06,2021-04-06 08:18:00+00:00,2021-04-06 08:19:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,18,18
2021-04-07,2021-04-07 06:27:00+00:00,2021-04-07 06:28:00+00:00,zero_up,zero_crossing,short_iron_condor,19,19
2021-04-07,2021-04-07 06:48:00+00:00,2021-04-07 06:49:00+00:00,q70_up,percentile_crossing,short_iron_condor,20,20
2021-04-07,2021-04-07 07:08:00+00:00,2021-04-07 07:09:00+00:00,q70_down,percentile_crossing,short_iron_condor,21,21
2021-04-07,2021-04-07 07:21:00+00:00,2021-04-07 07:22:00+00:00,zero_down,zero_crossing,long_iron_condor,22,22
2021-04-07,2021-04-07 08:41:00+00:00,2021-04-07 08:42:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,23,23
2021-04-08,2021-04-08 04:58:00+00:00,2021-04-08 04:59:00+00:00,q95_down,percentile_crossing,short_iron_condor,24,24
2021-04-08,2021-04-08 06:14:00+00:00,2021-04-08 06:15:00+00:00,q95_up,percentile_crossing,short_iron_condor,25,25
2021-04-08,2021-04-08 06:43:00+00:00,2021-04-08 06:44:00+00:00,q90_down,percentile_crossing,short_iron_condor,26,26
2021-04-08,2021-04-08 06:49:00+00:00,2021-04-08 06:50:00+00:00,reversal_top,tail_reversal,long_iron_condor,27,27
2021-04-08,2021-04-08 06:51:00+00:00,2021-04-08 06:52:00+00:00,q85_down,percentile_crossing,short_iron_condor,28,28
2021-04-08,2021-04-08 06:56:00+00:00,2021-04-08 06:57:00+00:00,q85_up,percentile_crossing,short_iron_condor,29,29
