trade_id,trade_date,entry_ts,split,structure,policy,margin_fraction,max_loss_fraction,capacity_cap_lots,margin_cap_lots,risk_cap_lots,lots,equity_before,executed,skip_reason,gross_pnl_rupees,net_pnl_rupees,turnover_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,total_cost_rupees,margin_rupees,max_loss_rupees,entry_dte,span_time_slot,equity_after,margin_utilization,max_loss_utilization
886,2021-03-31,2021-03-31 06:12:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,6,6,1000000.0,True,,179.99999999999295,-1971.0010212217455,304040.31349155545,1347.8666915926187,174.61737307966743,252.02554349539153,26.872869698588968,453.5157862736479,1801.3824778662665,349.61854335547224,120.0,75.6047327534223,4.584925439541326,106.50532181609188,0.30404031349155547,1.5202015674577773,41.09932146546742,2151.0010212217385,354216.1010830667,17212.5,8.158333333333333,ID1,998028.9989787783,0.3542161010830667,0.0172125
888,2021-04-15,2021-04-15 06:08:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,4,4,998028.9989787783,True,,2040.0000000000018,259.4741146656215,150331.98002635015,1284.8787040248724,96.7358167176467,126.98616078340255,27.164058124895146,250.8860356259444,1535.7647396508169,244.7611456835633,120.0,37.70905382167483,2.2474161714900145,52.66129260323045,0.15033198002635012,0.7516599001317508,31.24139120700994,1780.5258853343803,228728.85992881644,19410.0,7.161111111111111,ID1,998288.4730934439,0.22918057507633607,0.019448332683580396
890,2021-04-28,2021-04-28 06:10:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,5,5,998288.4730934439,True,,-1856.2500000000036,-3013.35313267598,210676.8481460461,711.0491920988898,73.61608049430968,72.34514912186182,14.728713675594589,160.6899432917661,871.739135390656,285.3639972853201,120.0,51.98721475266386,3.2010725592215516,73.80009990555995,0.2106768481460461,1.0533842407302305,35.11154897899852,1157.1031326759762,292397.89380805194,17118.750000000007,14.15972222222222,ID1,995275.1199607679,0.29289919866748004,0.017148099433576872
891,2021-04-29,2021-04-29 06:49:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,3,3,995275.1199607679,True,,2564.9999999999995,1361.6651533231457,98921.22087655679,756.7330769770248,37.960099062981314,181.2189362364707,17.649478263852224,236.82851356330426,993.561590540329,209.77325613652482,120.0,25.123164821504112,1.4602467370064567,34.65210367305784,0.09892122087655678,0.49460610438278396,27.94421357969709,1203.3348466768539,184104.57356604276,15851.249999999996,13.13263888888889,ID1,996636.785114091,0.1849785751434235,0.015926500805751906
894,2021-05-12,2021-05-12 07:23:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,2,2,996636.785114091,True,,2137.500000000002,1623.4380658246744,63431.183656923546,300.8899373790492,7.606954239143026,17.268949190545122,2.7931022795161677,27.669005709204313,328.5589430882535,185.502991087074,120.0,16.31003117845882,0.924333639000177,22.219943635020314,0.06343118365692353,0.31715591828461775,25.668095532653137,514.0619341753275,111434.00865282878,14205.0,8.109027777777778,ID2,998260.2231799157,0.11181004987696923,0.01425293568546526
896,2021-06-03,2021-06-03 07:57:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,2,2,998260.2231799157,True,,-2737.499999999999,-3116.4271484397264,38957.438257939495,193.98486326577105,4.522014535052906,9.729548908879284,3.0809410765614174,17.332504520493607,211.31736778626464,167.60978065346274,120.0,9.002155222538308,0.6285938343858866,13.646790621756205,0.03895743825793949,0.19478719128969751,24.098496345234693,378.9271484397274,113407.27516870979,14864.999999999996,7.085416666666666,ID2,995143.796031476,0.1136049223793128,0.014890906854575621
898,2021-06-17,2021-06-17 05:41:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,2,2,995143.796031476,True,,-427.49999999999864,-965.521482586393,82373.21823978663,303.9993777695394,8.47272620803898,24.213144588002848,3.45522506114553,36.14109585718735,340.1404736267267,197.88100895966764,120.0,20.401394441539978,1.2471128807012006,28.855338349397258,0.08237321823978663,0.41186609119893325,26.882923978590476,538.0214825863943,119558.74231769962,13605.0,14.17986111111111,ID1,994178.2745488896,0.12014217723557816,0.013671391063537998
900,2021-07-08,2021-07-08 08:32:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,2,2,994178.2745488896,True,,3457.5000000000023,3096.060708673487,46733.54228837576,176.59927862383796,4.183024215473406,4.658937507105998,1.5967335790795165,10.438695301658921,187.03797392549689,174.40131740101805,120.0,12.501001078612568,0.6519462039345187,16.37075986361803,0.04673354228837576,0.2336677114418788,24.597209001122692,361.439291326515,115270.55606446763,16335.0,7.061111111111111,ID3,997274.335257563,0.11594555927785877,0.016430654761000526
901,2021-07-15,2021-07-15 05:17:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,8,2,2,997274.335257563,True,,164.99999999999895,-195.02880074494445,53702.84115944781,157.5628259410245,3.9130801904155645,16.603041886199385,3.544005894188283,24.06012797080323,181.62295391182772,178.40584683311567,120.0,13.421554551383991,0.8057919617003945,18.812105258154567,0.0537028411594478,0.26851420579723906,25.044178014920025,360.0288007449434,117257.35750942516,14400.0,7.196527777777778,BOD,997079.3064568181,0.11757783526951132,0.01443935684585822
902,2021-07-29,2021-07-29 08:29:00+00:00,discovery_2021_2023,long_put_butterfly,balanced,0.5,0.02,21,12,3,3,997079.3064568181,True,,1507.4999999999993,1096.9446862582472,55016.60655002381,197.75021872226367,8.431237806590305,19.048712175633487,5.714901934855733,33.194851917079525,230.94507063934321,179.6102431024088,120.0,14.073290369846116,0.8061007743099474,19.27231727447334,0.055016606550023814,0.275083032750119,25.128435044479225,410.555313741752,116627.81887353858,17572.5,14.063194444444443,ID2,998176.2511430763,0.11696945079321987,0.01762397422773214
