date,signals,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,maximum_margin_rupees,equity_rupees,peak_equity_rupees,drawdown_rupees,drawdown_pct,daily_return
2021-05-12,1,5,5662.499999999999,504.3504757930705,5158.149524206929,40230.42924774802,280159.54749866,1005158.1495242069,1005158.1495242069,0.0,0.0,0.005158149524206929
2021-05-13,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-14,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-17,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-18,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-19,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-20,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-21,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-24,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-25,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-26,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-27,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-28,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-05-31,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-06-01,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-06-02,0,0,0.0,0.0,0.0,0.0,0.0,1005158.1495242069,1005158.1495242069,0.0,0.0,0.0
2021-06-03,1,5,-7106.25,553.5855979181779,-7659.835597918178,49565.78284622738,293413.6469001069,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,-0.007620527776195152
2021-06-04,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-07,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-08,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-09,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-10,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-11,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-14,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-15,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-16,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-17,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-18,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-21,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-22,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-23,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-24,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-25,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-28,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-29,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-06-30,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-01,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-02,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-05,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-06,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-07,0,0,0.0,0.0,0.0,0.0,0.0,997498.3139262887,1005158.1495242069,-7659.835597918136,-0.007620527776195152,0.0
2021-07-08,1,4,6989.999999999999,370.7637544954091,6619.2362455045895,19746.216778066027,233230.3404867786,1004117.5501717933,1005158.1495242069,-1040.5993524135556,-0.0010352593299931545,0.006635837026581326
2021-07-09,0,0,0.0,0.0,0.0,0.0,0.0,1004117.5501717933,1005158.1495242069,-1040.5993524135556,-0.0010352593299931545,0.0
2021-07-12,0,0,0.0,0.0,0.0,0.0,0.0,1004117.5501717933,1005158.1495242069,-1040.5993524135556,-0.0010352593299931545,0.0
2021-07-13,0,0,0.0,0.0,0.0,0.0,0.0,1004117.5501717933,1005158.1495242069,-1040.5993524135556,-0.0010352593299931545,0.0
2021-07-14,0,0,0.0,0.0,0.0,0.0,0.0,1004117.5501717933,1005158.1495242069,-1040.5993524135556,-0.0010352593299931545,0.0
2021-07-15,1,5,599.9999999999999,445.3416598508754,154.65834014912446,48927.98962007767,293261.4147425243,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.00015402413803311532
2021-07-16,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-19,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-20,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-21,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-22,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-23,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-26,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-27,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-28,0,0,0.0,0.0,0.0,0.0,0.0,1004272.2085119424,1005158.1495242069,-885.9410122644622,-0.000881394646885969,0.0
2021-07-29,1,6,2744.9999999999995,353.14353677241746,2391.856463227582,17924.9563991319,233899.3418717124,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0023816814235770867
2021-07-30,0,0,0.0,0.0,0.0,0.0,0.0,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0
2021-08-02,0,0,0.0,0.0,0.0,0.0,0.0,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0
2021-08-03,0,0,0.0,0.0,0.0,0.0,0.0,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0
2021-08-04,0,0,0.0,0.0,0.0,0.0,0.0,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0
2021-08-05,0,0,0.0,0.0,0.0,0.0,0.0,1006664.0649751701,1006664.0649751701,0.0,0.0,0.0
