score_type,split,trades,rho_one_lot_net_pnl,rho_net_bootstrap_ci_low,rho_net_bootstrap_ci_high,net_permutation_p_one_sided,rho_one_lot_gross_pnl,rho_one_lot_net_risk_return
gate_cushion_only,discovery_2021_2023,72,0.2650652775098077,0.0060068495247697,0.5135769680949285,0.0113988601139886,0.2391793684481317,0.4033378352305615
gate_cushion_only,validation_2024,18,0.2036178157778236,-0.2696797387964756,0.6604167024966808,0.2086791320867913,0.1912147000959257,0.4826879186205259
gate_cushion_only,confirmation_2025_2026,42,0.1134419125708783,-0.2263784902134117,0.4544279895821422,0.2392760723927607,0.0607782492958425,0.2689173807295355
gate_cushion_only,holdout_2024_2026,60,0.164645442666967,-0.0963534494642392,0.4196171301812383,0.1024897510248975,0.0910431717940502,0.338748471160386
gate_cushion_only,full_sample,132,0.2216797364319157,0.0396493942399409,0.3982878025034929,0.0065993400659934,0.1735902039198254,0.3647264475795123
regime_composite,discovery_2021_2023,72,0.3365704639071593,0.099991834666066,0.5511438961931371,0.0028997100289971,0.2840903609982131,0.4523514752574413
regime_composite,validation_2024,18,0.4273164838609141,-0.0773958991352404,0.8258108781711603,0.0416958304169583,0.34971663812346,0.5297482802343536
regime_composite,confirmation_2025_2026,42,0.1009044603500801,-0.2367462942663462,0.449650874058267,0.2621737826217378,0.0743805386985719,0.2298739876464045
regime_composite,holdout_2024_2026,60,0.2136670767212159,-0.066046333518081,0.484328752547624,0.0471952804719528,0.1534932669834867,0.340632702997774
regime_composite,full_sample,132,0.2705999842431295,0.0929113632051878,0.4369404469393592,0.0013998600139986,0.2155591326633182,0.3871380295304792
