score_type,split,score_quintile,trades,mean_score,mean_one_lot_gross_pnl,mean_one_lot_net_pnl,median_one_lot_net_pnl,net_win_rate,mean_net_risk_return
gate_cushion_only,discovery_2021_2023,Q1,14,0.1041666666666666,71.42857142857135,-236.0007657294507,-317.0634207819353,0.2857142857142857,-0.1617372358139448
gate_cushion_only,discovery_2021_2023,Q2,14,0.2986111111111111,152.76785714285708,-108.32092095154276,-186.40298250669863,0.4285714285714285,-0.0866217896687922
gate_cushion_only,discovery_2021_2023,Q3,15,0.5,210.66666666666657,-43.81820098155117,52.30192914992461,0.5333333333333333,-0.0358843750503411
gate_cushion_only,discovery_2021_2023,Q4,14,0.701388888888889,485.7142857142857,264.56699340609555,227.5605212239589,0.8571428571428571,0.0451162081203744
gate_cushion_only,discovery_2021_2023,Q5,15,0.902777777777778,188.0833333333333,-36.97245560162455,10.28332108896396,0.5333333333333333,0.0015392955014455
gate_cushion_only,validation_2024,Q1,3,0.1018518518518518,-18.333333333333417,-318.68880272738096,-321.30386492018744,0.0,-0.6244027307360298
gate_cushion_only,validation_2024,Q2,2,0.2777777777777778,57.50000000000011,-234.41434901233995,-234.41434901233995,0.0,-0.3040055726649638
gate_cushion_only,validation_2024,Q3,4,0.4930555555555555,-68.74999999999987,-303.98362065652094,-382.8074555732107,0.25,-0.2499317829346494
gate_cushion_only,validation_2024,Q4,2,0.7291666666666667,569.9999999999998,320.3202703767818,320.3202703767818,0.5,-0.2016570639871532
gate_cushion_only,validation_2024,Q5,7,0.9067460317460316,230.1785714285715,18.634427920514764,128.69239186927592,0.5714285714285714,-0.0216265561915016
gate_cushion_only,confirmation_2025_2026,Q1,5,0.1333333333333333,363.2500000000008,-42.73514633121056,-67.27833408600071,0.4,-0.1294689965036573
gate_cushion_only,confirmation_2025_2026,Q2,8,0.3125,80.96875000000011,-286.3806085871089,-314.3999588131209,0.125,-0.1904110112590045
gate_cushion_only,confirmation_2025_2026,Q3,16,0.4600694444444444,162.56249999999994,-97.1641573154976,-49.230157113463775,0.375,-0.0502749199034187
gate_cushion_only,confirmation_2025_2026,Q4,3,0.7546296296296297,491.25,215.62124765170756,431.82287616632,0.6666666666666666,-0.0162226887842176
gate_cushion_only,confirmation_2025_2026,Q5,10,0.8861111111111111,440.7,203.7239805275553,-72.79966678453107,0.4,0.0310339954812947
gate_cushion_only,holdout_2024_2026,Q1,8,0.1215277777777777,220.15625000000048,-146.2177674797745,-262.71453223837875,0.25,-0.315069146840797
gate_cushion_only,holdout_2024_2026,Q2,10,0.3055555555555555,76.2750000000001,-275.98735667215504,-270.5275779279876,0.1,-0.2131299235401964
gate_cushion_only,holdout_2024_2026,Q3,20,0.4666666666666667,116.3,-138.52804998370226,-103.17271349318068,0.35,-0.0902062925096648
gate_cushion_only,holdout_2024_2026,Q4,5,0.7444444444444445,522.7499999999999,257.50085674173727,431.82287616632,0.6,-0.0903964388653918
gate_cushion_only,holdout_2024_2026,Q5,17,0.8946078431372549,354.0147058823529,127.510635336421,-43.55058000172397,0.4705882352941176,0.0093502389101433
gate_cushion_only,full_sample,Q1,22,0.1104797979797979,125.51136363636375,-203.35240272956844,-312.0057914363736,0.2727272727272727,-0.2174942943691639
gate_cushion_only,full_sample,Q2,24,0.3015046296296296,120.89583333333331,-178.1819358351312,-261.05738301457467,0.2916666666666667,-0.1393335121152106
gate_cushion_only,full_sample,Q3,35,0.4809523809523809,156.7428571428571,-97.93811469706608,-67.75112589640699,0.4285714285714285,-0.0669254707413832
gate_cushion_only,full_sample,Q4,19,0.7127192982456141,495.4605263157895,262.7074837575802,232.64877149054144,0.7894736842105263,0.0094549852293833
gate_cushion_only,full_sample,Q5,32,0.8984375,276.234375,50.40918645921215,-16.633629456380007,0.5,0.0056888591873162
regime_composite,discovery_2021_2023,Q1,14,0.1041666666666666,47.49999999999983,-285.73105904150503,-322.53136688210225,0.1428571428571428,-0.2133716003963031
regime_composite,discovery_2021_2023,Q2,14,0.2986111111111111,153.125,-108.46386052713446,-125.74468116963769,0.5,-0.0489680243561194
regime_composite,discovery_2021_2023,Q3,14,0.494047619047619,194.99999999999997,-41.29075817993886,-52.22089929243365,0.5,-0.0306696932826199
regime_composite,discovery_2021_2023,Q4,15,0.6953703703703702,478.83333333333326,257.869413708241,189.89181360587156,0.8,0.0415773374946846
regime_composite,discovery_2021_2023,Q5,15,0.9027777777777778,213.25,-6.644484782648207,232.64877149054144,0.6666666666666666,0.0078596502509209
regime_composite,validation_2024,Q1,2,0.1041666666666666,-31.250000000000178,-364.99492791902014,-364.99492791902014,0.0,-0.7868845250152351
regime_composite,validation_2024,Q2,5,0.2666666666666666,-27.99999999999983,-276.26662806961565,-245.5844970742011,0.2,-0.1933093940681235
regime_composite,validation_2024,Q3,2,0.5416666666666666,34.999999999999964,-232.1215499826192,-232.1215499826192,0.0,-0.4554578107269752
regime_composite,validation_2024,Q4,3,0.6990740740740741,47.91666666666666,-182.67561464034105,-306.26239169630924,0.3333333333333333,-0.275614415707014
regime_composite,validation_2024,Q5,6,0.9629629629629628,420.8333333333333,208.97414790610677,148.22933738642155,0.6666666666666666,0.0404047330591079
regime_composite,confirmation_2025_2026,Q1,5,0.1083333333333333,361.9500000000008,-35.75890120236291,-32.39710844176244,0.4,-0.1259484945089975
regime_composite,confirmation_2025_2026,Q2,6,0.2731481481481481,-27.00000000000016,-373.65292725536,-388.0321111767652,0.1666666666666666,-0.1935996025946951
regime_composite,confirmation_2025_2026,Q3,15,0.5037037037037037,290.90000000000003,22.761003013614825,-67.75112589640699,0.4,-0.0307866295350185
regime_composite,confirmation_2025_2026,Q4,6,0.6736111111111112,-17.708333333333375,-331.88298037561225,-292.7700825763748,0.1666666666666666,-0.1479890079214344
regime_composite,confirmation_2025_2026,Q5,10,0.9125,504.075,269.53513374232165,200.55684391789976,0.5,0.0427713676082315
regime_composite,holdout_2024_2026,Q1,7,0.1071428571428571,249.60714285714332,-129.8263374071221,-299.3525121326548,0.2857142857142857,-0.3147873603679225
regime_composite,holdout_2024_2026,Q2,11,0.2702020202020201,-27.454545454545453,-329.3864276254762,-295.4706587817741,0.1818181818181818,-0.1934676896280717
regime_composite,holdout_2024_2026,Q3,17,0.508169934640523,260.7941176470589,-7.225179691824462,-132.04442285613698,0.3529411764705882,-0.0807479449693663
regime_composite,holdout_2024_2026,Q4,9,0.6820987654320987,4.166666666666639,-282.1471917971885,-306.26239169630924,0.2222222222222222,-0.1905308105166276
regime_composite,holdout_2024_2026,Q5,16,0.9314236111111112,472.859375,246.82476405374103,148.22933738642155,0.5625,0.0418838796523102
regime_composite,full_sample,Q1,21,0.1051587301587301,114.86904761904766,-233.7628184967108,-318.01896631099254,0.1904761904761904,-0.2471768537201763
regime_composite,full_sample,Q2,25,0.2861111111111111,73.67000000000002,-205.66979005040488,-276.53026895494827,0.36,-0.1125478770757784
regime_composite,full_sample,Q3,31,0.5017921146953406,231.08064516129036,-22.609634492908377,-121.73410365227234,0.4193548387096774,-0.0581319603366421
regime_composite,full_sample,Q4,24,0.6903935185185185,300.83333333333326,55.3631866437049,63.12493408660998,0.5833333333333334,-0.0454632180095574
regime_composite,full_sample,Q5,31,0.917562724014337,347.241935483871,124.17835332645592,180.20271900006523,0.6129032258064516,0.0254205428451863
